Cu_2.0Å "SHAP Value" Cu
0.0025027 -0.006403362983837724 0.0
0.09818343 -0.004293381941970438 1.0
0.01932515 -0.00585557117825374 0.0
0.00860651 -0.005798898336943239 0.0
0.00048203 -0.00777487029437907 0.0
0.03210434 -0.005554719070205465 0.0
0.16210396 0.012513636167859658 0.0
0.0059926 -0.004921935967868194 0.0
0.08010737 -0.0055358798778615895 1.0
0.06773717 -0.005487755935173482 0.0
0.01854707 -0.006684909026371315 0.0
0.01145974 -0.005122072317171842 0.0
0.85253833 0.01347532367799431 1.0
0.06066602 -0.004382675639353692 0.0
0.10922636 -0.0029501379700377583 1.0
0.07436612 -0.004620272770989686 1.0
0.22863226 0.014314499123720452 1.0
0.10125917 -0.005487755935173482 0.0
0.00062185 -0.007970338262384757 0.0
0.43891526 0.013321092184633017 1.0
0.0329247 -0.005436093021417037 0.0
0.58265283 0.007300356088671833 1.0
0.03045498 -0.006403362983837724 0.0
0.36570255 0.01690937140141614 1.0
0.54934269 0.011699164507444949 1.0
0.03776052 -0.005555997027549893 0.0
0.00263727 -0.006399151660734788 0.0
0.03416841 -0.0073147587606217715 0.0
0.01534184 -0.004640389925334602 0.0
0.52819391 0.013795744979288429 1.0
0.00047247 -0.0041989540378563105 1.0
0.02161622 -0.004620272770989686 0.0
0.33120068 0.01303452790947631 1.0
0.00845613 -0.005122072317171842 0.0
0.01406284 -0.005273173027671873 1.0
0.014078 -0.0064977909508161244 0.0
0.03426938 -0.004939964071381837 0.0
0.04311692 -0.004468384459614754 1.0
0.01785452 -0.005487755935173482 0.0
0.07318744 -0.003775043690111488 0.0
0.4638869 0.01441024967818521 1.0
0.03359032 -0.007560287386877462 0.0
0.10911323 -0.00444359899032861 1.0
0.0622699 -0.006231545089976862 0.0
0.01011358 -0.007489785241195932 0.0
0.01098778 -0.005122072317171842 0.0
0.05925139 -0.003702633276116103 1.0
0.27611 0.016268589304527268 1.0
0.01245534 -0.007413397999480367 0.0
0.20604126 0.013795744979288429 1.0
0.28566646 0.012937773102894425 1.0
0.12883239 -0.003754926538094878 1.0
0.0024362 -0.0050327545020263645 1.0
0.00020221 -0.029687091656960547 0.0
0.01785498 -0.0053839915664866565 1.0
0.01010254 -0.0050034462497569624 0.0
0.13448045 -0.005012637352338061 1.0
0.00239578 -0.005012637352338061 1.0
0.15059986 -0.006170357116498053 1.0
0.07577573 -0.005122072317171842 0.0
0.01971345 -0.004468384459614754 1.0
0.00555259 -0.0050034462497569624 0.0
0.04768988 -0.005222788071259856 0.0
0.011449 -0.005273173027671873 0.0
0.0405253 -0.005769301977707073 0.0
0.01379847 -0.00516032210085541 0.0
0.10833429 -0.005273173027671873 1.0
0.0427109 -0.0050034462497569624 0.0
0.00021697 -0.006684909026371315 0.0
0.00241077 -0.005273173027671873 0.0
0.02573426 -0.005273173027671873 0.0
0.51893064 0.01418799881823361 1.0
0.04354279 -0.006252262271009386 0.0
0.0293945 -0.005273173027671873 1.0
0.02512145 -0.004731091309804469 1.0
0.15819329 0.013777854978106916 1.0
0.46422718 0.011233664953615517 1.0
0.22511942 0.013795744979288429 1.0
0.9713236 0.013456527247326449 1.0
0.01816479 -0.004097030245466158 1.0
0.50617052 0.011937405352946372 1.0
0.00460863 -0.005154546978883445 0.0
0.00177549 -0.00451242737704888 1.0
0.00945901 -0.005769301977707073 0.0
0.05611724 -0.004492310222703963 1.0
0.00668353 -0.003948750928975642 0.0
0.00826257 -0.003815484202932566 1.0
0.00995128 -0.0063517000700812785 0.0
0.03648406 -0.005554719070205465 0.0
0.00458966 -0.005202670921571553 1.0
0.0409317 -0.003815484202932566 1.0
0.27735403 0.015613266768632457 1.0
0.00162811 -0.006470326177077368 0.0
0.00029987 -0.006470326177077368 0.0
0.02027601 -0.005487755935173482 0.0
0.00504367 -0.004588727011578158 0.0
1.536e-05 -0.031012207354651763 1.0
0.37103744 0.013795744979288429 1.0
0.0990956 -0.005232890849001705 1.0
5.44e-06 -0.03138356175739318 0.0
0.00685918 -0.0073147587606217715 0.0
0.56861577 0.01569022089242935 1.0
0.00960317 -0.005554719070205465 0.0
0.00293757 -0.006283208043314516 0.0
0.01983081 -0.006252262271009386 0.0
0.15027473 -0.006075929207727313 0.0
