Zr_2.4Å "SHAP Value" Cu
0.05785681 0.0 0.0
0.06462815 0.0 0.0
1.62461714 0.0 1.0
1.24979324 0.0 1.0
0.01028455 0.0 0.0
1.38247465 0.0 1.0
0.00025251 0.0 0.0
0.05318926 0.0 0.0
1.14042055 0.0 1.0
0.01716742 0.0 0.0
0.04935823 0.0 0.0
0.53003441 0.0 1.0
0.78294659 0.0 1.0
0.38444401 0.0 1.0
0.15655609 0.0 0.0
0.12562682 0.0 0.0
0.94486298 0.0 1.0
0.54486618 0.0 0.0
0.00577878 0.0 0.0
0.70193275 0.0 1.0
0.37845859 0.0 1.0
0.78992613 0.0 1.0
1.34920469 0.0 1.0
1.90797301 0.0 1.0
1.45636937 0.0 1.0
0.13930892 0.0 0.0
0.0179558 0.0 0.0
0.82903995 0.0 1.0
1.21627526 0.0 1.0
2.66445021 0.0 1.0
0.03144102 0.0 0.0
0.07189466 0.0 0.0
0.01161669 0.0 0.0
0.32739955 0.0 1.0
0.01237818 0.0 0.0
0.00622806 0.0 0.0
0.0056381 0.0 0.0
0.75069269 0.0 1.0
0.00112421 0.0 0.0
1.36392803 0.0 1.0
1.64256099 0.0 1.0
0.6268212 0.0 1.0
0.18723047 0.0 0.0
2.43552452 0.0 1.0
0.00474258 0.0 0.0
0.00132834 0.0 0.0
0.78313843 0.0 1.0
2.66839417 0.0 1.0
0.00535447 0.0 0.0
0.01643408 0.0 0.0
0.01947727 0.0 0.0
0.00151709 0.0 0.0
1.28311284 0.0 1.0
0.12665333 0.0 0.0
0.02668149 0.0 0.0
1.31612138 0.0 1.0
0.9622036 0.0 1.0
0.03477931 0.0 0.0
0.0566409 0.0 0.0
1.21141709 0.0 1.0
2.88458453 0.0 1.0
0.02583669 0.0 0.0
0.07731027 0.0 0.0
1.05189285 0.0 1.0
0.02486101 0.0 0.0
0.98787873 0.0 1.0
0.00409985 0.0 0.0
1.14030451 0.0 1.0
0.87426602 0.0 1.0
1.60506919 0.0 1.0
1.50265122 0.0 1.0
1.2880338 0.0 1.0
0.00228999 0.0 0.0
0.7814426 0.0 1.0
0.00922773 0.0 0.0
1.01361906 0.0 1.0
1.92818554 0.0 1.0
0.01814114 0.0 0.0
2.00833688 0.0 1.0
1.13764053 0.0 1.0
0.00540352 0.0 0.0
0.00662626 0.0 0.0
0.89191889 0.0 1.0
1.2555647 0.0 1.0
0.00665311 0.0 0.0
1.10687707 0.0 1.0
0.67312468 0.0 1.0
2.32320447 0.0 1.0
0.03744525 0.0 0.0
2.27178555 0.0 1.0
1.28303854 0.0 1.0
0.05245232 0.0 0.0
0.15265832 0.0 0.0
1.48898581 0.0 1.0
0.16598012 0.0 0.0
0.00673792 0.0 0.0
1.64140335 0.0 1.0
0.783358 0.0 1.0
0.04981886 0.0 0.0
0.01027743 0.0 0.0
0.02129845 0.0 0.0
0.75923281 0.0 1.0
0.54763637 0.0 1.0
0.71695997 0.0 1.0
0.01089268 0.0 0.0
0.07158903 0.0 0.0
0.1122079 0.0 0.0
0.01156531 0.0 0.0
1.84400154 0.0 1.0
0.29819728 0.0 0.0
1.05620056 0.0 1.0
0.55603963 0.0 1.0
3.1229579 0.0 1.0
0.26044947 0.0 0.0
0.00096812 0.0 0.0
0.00144996 0.0 0.0
0.02949418 0.0 0.0
0.00138335 0.0 0.0
0.02182604 0.0 0.0
0.93396743 0.0 1.0
1.80056275 0.0 1.0
1.52072577 0.0 1.0
0.58233382 0.0 1.0
0.06040688 0.0 0.0
0.00122401 0.0 0.0
0.1377002 0.0 0.0
0.00233973 0.0 0.0
0.02904211 0.0 0.0
0.01937107 0.0 0.0
0.18660268 0.0 0.0
0.0140442 0.0 0.0
0.00144279 0.0 0.0
0.00065074 0.0 0.0
0.04989053 0.0 0.0
0.0529521 0.0 0.0
2.07379562 0.0 1.0
4.411e-05 0.0 0.0
0.06471745 0.0 0.0
0.62282248 0.0 1.0
0.40723057 0.0 0.0
0.01742075 0.0 0.0
0.0039286 0.0 0.0
0.00249422 0.0 0.0
0.49485269 0.0 1.0
0.06647054 0.0 0.0
0.47210723 0.0 1.0
0.09286933 0.0 0.0
0.00628468 0.0 0.0
0.09928809 0.0 0.0
1.39951998 0.0 1.0
1.3509092 0.0 1.0
0.08825849 0.0 0.0
1.78997924 0.0 1.0
1.28035672 0.0 1.0
1.30755687 0.0 1.0
0.26718986 0.0 0.0
1.05673787 0.0 1.0
0.01423057 0.0 0.0
1.80345249 0.0 1.0
0.00566528 0.0 0.0
2.19095367 0.0 1.0
0.25935373 0.0 0.0
0.00317016 0.0 0.0
0.00096729 0.0 0.0
0.96387407 0.0 1.0
0.54344617 0.0 0.0
1.55438436 0.0 1.0
1.05630021 0.0 1.0
1.79248989 0.0 1.0
1.28802784 0.0 1.0
1.83804228 0.0 1.0
0.34071263 0.0 1.0
0.23754791 0.0 0.0
0.54182706 0.0 1.0
0.89475548 0.0 1.0
0.00171706 0.0 0.0
0.23687587 0.0 0.0
1.85006081 0.0 1.0
2.2787634 0.0 1.0
0.03442345 0.0 0.0
0.8154962 0.0 1.0
1.37203743 0.0 1.0
0.00108744 0.0 0.0
0.0070792 0.0 0.0
0.10216448 0.0 0.0
0.0181213 0.0 0.0
1.86455908 0.0 1.0
0.04134686 0.0 0.0
0.03330922 0.0 0.0
0.00069125 0.0 0.0
0.53363982 0.0 1.0
0.00349676 0.0 0.0
0.00660585 0.0 0.0
0.03700929 0.0 0.0
1.66006867 0.0 1.0
1.47058243 0.0 1.0
0.05437805 0.0 0.0
0.28757775 0.0 1.0
0.01080328 0.0 0.0
1.55821236 0.0 1.0
0.78583799 0.0 1.0
0.00884622 0.0 0.0
1.45782613 0.0 1.0
0.01735468 0.0 0.0
0.00610915 0.0 0.0
0.00433204 0.0 0.0
0.91940208 0.0 1.0
0.00565377 0.0 0.0
0.53221638 0.0 1.0
0.11588829 0.0 0.0
0.09374351 0.0 0.0
0.00233014 0.0 0.0
0.06378827 0.0 0.0
0.5127869 0.0 1.0
1.03662005 0.0 1.0
0.01070415 0.0 0.0
1.28464469 0.0 1.0
0.05198611 0.0 0.0
2.07725973 0.0 1.0
0.43165392 0.0 1.0
0.01734756 0.0 0.0
1.01920463 0.0 1.0
0.24136226 0.0 0.0
0.02121409 0.0 0.0
0.0195932 0.0 0.0
0.00766731 0.0 0.0
0.00217831 0.0 0.0
0.02645805 0.0 0.0
0.71543501 0.0 1.0
1.6030965 0.0 1.0
0.01490801 0.0 0.0
0.04078639 0.0 0.0
0.03400051 0.0 0.0
0.41522646 0.0 0.0
0.0056859 0.0 0.0
0.95288251 0.0 1.0
0.04132567 0.0 0.0
1.62892474 0.0 1.0
1.56780542 0.0 1.0
0.01743121 0.0 0.0
2.06866393 0.0 1.0
0.00634033 0.0 0.0
2.0026759 0.0 1.0
0.06621219 0.0 0.0
1.1966302 0.0 1.0
0.01016296 0.0 0.0
0.19903229 0.0 1.0
0.39829204 0.0 1.0
1.44685928 0.0 1.0
1.89492197 0.0 1.0
0.63309935 0.0 1.0
0.59610019 0.0 1.0
0.03832632 0.0 0.0
2.19962947 0.0 1.0
0.68798044 0.0 1.0
0.05925106 0.0 0.0
0.82482088 0.0 1.0
0.0447417 0.0 0.0
0.00455879 0.0 0.0
1.04195427 0.0 1.0
0.00951223 0.0 0.0
0.00821759 0.0 0.0
0.00165242 0.0 0.0
0.0078468 0.0 0.0
0.00179855 0.0 0.0
0.005932 0.0 0.0
1.17491204 0.0 1.0
0.00017497 0.0 0.0
0.00957858 0.0 0.0
1.32013723 0.0 1.0
1.50880736 0.0 1.0
2.14000632 0.0 1.0
0.02069357 0.0 0.0
0.03176854 0.0 0.0
