Zr_3.2Å "SHAP Value" Cu
3.96401382 -0.00587060316815041 0.0
4.85651127 -0.003932593468343839 0.0
1.2481818 0.011671736461576075 1.0
2.29958556 0.0023009547393303366 1.0
2.3655874 0.0014414923114236444 1.0
2.08985407 0.010249220407567919 1.0
3.82082256 -0.005088821253739297 0.0
0.98131329 0.011671736461576075 1.0
4.46047535 -0.004309244382893667 1.0
4.4533209 -0.005483671190449968 0.0
3.99415328 -0.00557126164669171 0.0
1.5861956 0.010831680429400876 0.0
3.59366356 -0.0018888565641827881 1.0
3.60771962 -0.0025719889684114607 0.0
5.07328673 -0.004789479719474912 0.0
4.31776944 -0.005188469794811681 0.0
2.43826565 0.0014414923114236444 1.0
2.24878964 0.0008060053916415199 1.0
2.78260424 0.0007998608576599509 1.0
2.52145423 0.0011336625111289323 1.0
1.11010023 0.011147013591835276 1.0
2.58439233 0.0008384611154906451 1.0
2.85435839 0.0031242376170121135 0.0
4.98219668 -0.0059702517092227935 0.0
4.77436297 -0.00557126164669171 0.0
3.59921166 -0.0017892080231104047 0.0
4.65743547 -0.005084681115113199 0.0
5.02676934 -0.004789479719474912 0.0
2.60779268 0.002264775189105421 1.0
2.05237141 0.009438345233211293 1.0
4.71099452 -0.00557126164669171 0.0
4.6669792 -0.004331583543680608 0.0
1.96228335 0.0075304544222308326 1.0
3.89738201 -0.003932593468343839 1.0
4.79870872 -0.0041216592089040206 0.0
6.18638712 -0.00355997436621692 0.0
4.64851655 -0.0059702517092227935 0.0
2.69713496 1.753142918460071e-05 1.0
5.80820624 -0.0038329449272714554 0.0
2.89384061 0.003210797016508877 1.0
4.19489687 -0.0059702517092227935 0.0
3.32601901 -0.00027766991523094477 1.0
2.84391462 0.004070259411819279 0.0
4.70463991 -0.003932593468343839 0.0
4.83478711 -0.004789479719474912 1.0
5.08800979 -0.004421000743168407 0.0
4.43699359 -0.004331583543680608 0.0
1.79717045 0.009671791447326541 1.0
4.03661312 -0.00557126164669171 1.0
4.71609516 -0.0059702517092227935 0.0
2.89984698 0.0035874479310587046 0.0
2.78457806 0.00031037963344715536 1.0
1.50650714 0.008172085902187973 1.0
4.17799526 -0.004803792595048435 0.0
3.48578821 0.0017993756500072778 1.0
2.35152294 0.001158574647270143 1.0
2.99056811 0.0017993756500072778 1.0
2.9816133 0.0014227247354574501 1.0
3.72481701 -0.004604445778531954 1.0
2.68569542 0.0008408143068663776 1.0
5.3752223 -0.004482238724594936 1.0
2.28046157 0.0014414923114236444 1.0
3.58977275 -0.0019303575146477668 1.0
4.66190892 -0.004708234458230436 0.0
6.55226515 -0.005866463042329997 0.0
4.53296333 -0.004626784939318895 0.0
4.11427327 -0.004001434998353943 1.0
5.38122673 -0.004626784939318895 0.0
3.23359003 0.001818143225973472 1.0
2.74517327 0.001818143225973472 1.0
4.86081841 -0.004903441136120818 0.0
1.23539938 0.012425412001321093 1.0
3.41434489 0.002945816451101564 0.0
3.48388056 0.0023009547393303366 0.0
4.2834521 -0.0038329449272714554 0.0
2.02681104 0.009413433097070083 1.0
3.82892773 -0.00557126164669171 0.0
3.37564492 0.001818143225973472 0.0
4.93158013 -0.003932593468343839 1.0
4.92380151 -0.005188469794811681 0.0
3.30469797 0.00240060328040272 0.0
4.31727847 -0.003932593468343839 0.0
4.04043551 -0.003932593468343839 0.0
3.52894363 0.0006870305479969829 1.0
4.31240031 -0.005947912561241537 1.0
3.59405768 -0.0026245489856228234 0.0
4.52016178 -0.0059702517092227935 0.0
3.69358025 -0.005049313304480166 1.0
3.05353626 0.001522941830335185 0.0
4.54345747 -0.0059702517092227935 0.0
3.25889908 -0.008370398741681129 1.0
1.21108886 0.011294299323344604 1.0
4.9234236 -0.003932593468343839 0.0
2.64000456 0.00033529176958836616 1.0
4.48818644 -0.004331583543680608 0.0
4.10988212 -0.004604445778531954 1.0
5.40548873 -0.003932593468343839 0.0
6.11435559 -0.00587060316815041 0.0
2.91380535 0.0017868361342698335 1.0
5.21886855 -0.004626784939318895 0.0
1.85719443 0.009786010093521327 0.0
3.00642169 0.0014476368715986608 1.0
4.88720406 -0.004309244382893667 0.0
3.29366764 0.001659323285566643 0.0
3.92890867 -0.0033124058577232063 1.0
1.92599493 0.010544545775046573 1.0
2.27176818 0.00031037963344715536 1.0
4.0203543 -0.004708234458230436 1.0
2.52940729 0.0014227247354574501 1.0
4.2248514 -0.005471613105619326 0.0
2.5923135 0.0006870305479969829 1.0
