Cu_4.2Å "SHAP Value" Cu
4.51894671 0.0003240234160330147 1.0
1.84713901 0.0007521592162083834 0.0
2.10102831 0.0005342234531417489 0.0
4.26736314 0.00025516478694044054 1.0
4.53057628 0.00025516478694044054 1.0
0.44945669 -0.001925922310911119 0.0
2.84953257 -0.0004624241276178509 1.0
4.99091546 -0.0004624241276178509 1.0
1.67621805 0.0005238384852418676 0.0
1.05393933 -0.00044154723291285337 1.0
1.13446365 -0.001925922310911119 0.0
5.29518973 0.0003240234160330147 1.0
0.11766561 0.01135516567970626 0.0
4.04925899 0.0002703776897396892 1.0
3.6868335 -0.0004624241276178509 1.0
4.04727487 0.00020151906064711512 1.0
5.8912875 -0.00024448836455121637 1.0
3.15303091 0.00025225699588190767 1.0
2.49515922 -0.0004624241276178509 1.0
3.08119501 0.0007521592162083834 0.0
1.59068232 -0.001925922310911119 0.0
1.81028186 0.0007521592162083834 0.0
1.21352523 -0.001925922310911119 0.0
1.97105302 0.0007521592162083834 0.0
3.64580414 0.0002703776897396892 1.0
3.07437601 -0.0005160698539111763 1.0
3.14596762 0.0002703776897396892 1.0
2.38878008 0.00020151906064711512 1.0
2.22142645 0.0002703776897396892 1.0
4.46760852 -0.0005160698539111763 1.0
0.79602885 -0.000344314354006201 1.0
3.76727272 0.0004805777268484235 1.0
0.83821623 -0.001227994776563719 1.0
2.53265754 0.0007521592162083834 0.0
3.16184507 0.00032266701164189725 0.0
1.78467951 0.0007521592162083834 0.0
3.2599348 -0.0005160698539111763 1.0
3.10746687 0.0005419591790996492 1.0
1.11409862 -0.001235233584884554 0.0
4.61045777 0.0002703776897396892 1.0
2.05815643 0.0007521592162083834 0.0
1.90023871 0.0007521592162083834 0.0
3.18310943 0.0003240234160330147 1.0
2.92209314 0.00025516478694044054 1.0
3.13406109 0.0002703776897396892 1.0
1.49017598 -0.0010510308551602066 1.0
1.19033051 -0.001925922310911119 0.0
0.62994375 -0.0011322359589394182 0.0
1.86706484 0.0005342234531417489 0.0
1.65885949 0.0007521592162083834 0.0
5.4083837 -0.0004456598381511867 1.0
2.58035193 0.0007521592162083834 0.0
3.41367513 0.0003240234160330147 1.0
1.8281382 0.0005238384852418676 0.0
0.31665843 -0.0011307618976570666 1.0
2.42146806 0.0003240234160330147 1.0
1.04403217 -0.0013056436006445439 0.0
3.97492424 0.0003240234160330147 1.0
1.01698184 -0.0011322359589394182 0.0
1.78852556 0.0003240234160330147 1.0
6.37815219 0.0003240234160330147 1.0
2.23087229 0.0002703776897396892 1.0
3.36773165 0.0002703776897396892 1.0
1.0025384 -0.001925922310911119 0.0
1.92054618 0.0005238384852418676 0.0
1.67358735 0.00030590272217523307 0.0
1.17473146 -0.001925922310911119 0.0
2.92931616 0.00020151906064711512 1.0
1.80328379 -0.000531282756710425 1.0
2.19584012 -0.0004624241276178509 1.0
0.51684156 -0.001925922310911119 0.0
3.54611573 0.0003240234160330147 1.0
1.5346319 -0.001227994776563719 1.0
1.08773306 -0.001925922310911119 0.0
2.82070896 0.0002703776897396892 1.0
2.14513006 0.0005509877426084131 1.0
